CONGLOME,VIVIENDA,HOGAR,CODPERSO,P203,P207,P208A,P301A,P301B,P507,P510A1,P511A,P512A,P558E1_4,P558E1_8,P558E1_9,DOMINIO,ESTRATO,PANEL,FACTOR07,MIEPERHO,llave_persona,Edad,Ocupado,P510A1_num,P511A_num,P507_num,Informal,CreditoFormal_2024,Billetera,CreditoFormal_2025,P203_num,Ocupado_num,CreditoFormal_2024_num,CreditoFormal_2025_num,Informal_num,NuevoCredito
15014,25,11,1,1,2,39,7.0,1,2,3, ,1,0.0,8.0,0.0,4,4,1,69.4570999145508,4,15014-25-11-1,39.0,1,3.0,,2.0,1.0,0,1,1,1,1,0,1,1.0,1
15014,39,11,1,1,1,56,3.0,0,4,2,7,1,0.0,0.0,0.0,4,4,1,69.4570999145508,1,15014-39-11-1,56.0,1,2.0,7.0,4.0,1.0,0,0,0,1,1,0,0,1.0,0
15014,82,11,1,1,2,31,6.0,5,3,3,7,1,0.0,8.0,0.0,4,4,2,69.4570999145508,5,15014-82-11-1,31.0,1,3.0,7.0,3.0,1.0,0,1,0,1,1,0,0,1.0,0
15014,96,11,1,1,2,52,6.0,5,2,3, ,1,0.0,0.0,0.0,4,4,1,69.4570999145508,3,15014-96-11-1,52.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15017,2,11,1,1,2,65,10.0,6,3, ,1,5,0.0,0.0,0.0,4,4,1,102.967529296875,1,15017-2-11-1,65.0,1,,1.0,3.0,0.0,0,0,0,1,1,0,0,0.0,0
15017,31,11,1,1,2,85,4.0,5, , , , ,0.0,0.0,0.0,4,4,2,102.967529296875,1,15017-31-11-1,85.0,1,,,,0.0,0,0,0,1,1,0,0,0.0,0
15019,20,11,1,1,2,84,3.0,3, , , , ,0.0,0.0,0.0,4,4,1,84.0562210083008,5,15019-20-11-1,84.0,1,,,,0.0,0,0,0,1,1,0,0,0.0,0
15019,29,11,1,1,2,73,6.0,5, , , , ,0.0,8.0,0.0,4,4,1,84.0562210083008,1,15019-29-11-1,73.0,1,,,,0.0,0,1,0,1,1,0,0,0.0,0
15019,69,11,1,1,2,74,4.0,5, , , , ,0.0,0.0,0.0,4,4,1,84.0562210083008,1,15019-69-11-1,74.0,1,,,,0.0,0,0,0,1,1,0,0,0.0,0
15020,47,11,1,1,1,61,6.0,5,2,3, ,1,0.0,0.0,0.0,4,4,1,79.8167572021484,3,15020-47-11-1,61.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15020,88,11,1,1,2,49,8.0,3,2,2, ,1,0.0,8.0,0.0,4,4,1,79.8167572021484,1,15020-88-11-1,49.0,1,2.0,,2.0,0.0,0,1,0,1,1,0,0,0.0,0
15021,47,11,1,1,2,41,7.0,2, , , , ,0.0,0.0,0.0,4,4,1,102.967529296875,4,15021-47-11-1,41.0,1,,,,0.0,0,0,0,1,1,0,0,0.0,0
15021,59,11,1,1,1,48,8.0,5,2,1, ,1,0.0,8.0,0.0,4,4,1,102.967529296875,5,15021-59-11-1,48.0,1,1.0,,2.0,0.0,0,1,0,1,1,0,0,0.0,0
15023,83,11,1,1,2,63,11.0,2,3, ,2,5,0.0,0.0,0.0,4,4, ,102.967529296875,4,15023-83-11-1,63.0,1,,2.0,3.0,0.0,0,0,0,1,1,0,0,0.0,0
15023,95,11,1,1,2,36,7.0,2,1,2, ,1,0.0,8.0,0.0,4,4, ,102.967529296875,3,15023-95-11-1,36.0,1,2.0,,1.0,0.0,0,1,1,1,1,0,1,0.0,1
15023,119,11,1,1,2,68,6.0,5, , , , ,0.0,0.0,0.0,4,4, ,102.967529296875,1,15023-119-11-1,68.0,1,,,,0.0,0,0,0,1,1,0,0,0.0,0
15024,26,11,1,1,1,67,4.0,5,1,3, ,1,0.0,0.0,0.0,4,4, ,263.821685791016,2,15024-26-11-1,67.0,1,3.0,,1.0,1.0,0,0,0,1,1,0,0,1.0,0
15024,39,11,1,1,2,55,4.0,0, , , , ,0.0,8.0,0.0,4,4, ,263.821685791016,2,15024-39-11-1,55.0,1,,,,0.0,0,1,0,1,1,0,0,0.0,0
15024,69,11,1,1,2,26,7.0,1,6, ,7,1,0.0,8.0,0.0,4,4, ,263.821685791016,3,15024-69-11-1,26.0,1,,7.0,6.0,1.0,0,1,0,1,1,0,0,1.0,0
15028,9,11,1,1,2,43,5.0,3,6, ,7,1,0.0,8.0,0.0,4,5, ,255.607803344727,2,15028-9-11-1,43.0,1,,7.0,6.0,1.0,0,1,0,1,1,0,0,1.0,0
15028,44,11,1,1,1,57,6.0,5,2,3, ,1,0.0,0.0,0.0,4,5, ,255.607803344727,2,15028-44-11-1,57.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15028,57,11,1,1,1,56,4.0,0,2,2, ,1,0.0,0.0,0.0,4,5, ,255.607803344727,1,15028-57-11-1,56.0,1,2.0,,2.0,0.0,0,0,0,1,1,0,0,0.0,0
15028,86,11,1,1,1,34,11.0,1,3, ,5,5,0.0,8.0,0.0,4,5, ,255.607803344727,5,15028-86-11-1,34.0,1,,5.0,3.0,0.0,0,1,0,1,1,0,0,0.0,0
15029,3,11,1,1,2,65,1.0, ,2,3, ,1,0.0,0.0,0.0,4,5, ,263.821685791016,5,15029-3-11-1,65.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15029,17,11,1,1,2,63,1.0, ,2,3, ,1,0.0,0.0,0.0,4,5, ,263.821685791016,5,15029-17-11-1,63.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15042,59,11,1,1,2,35,5.0,2,2,3, ,1,0.0,0.0,0.0,7,4,1,163.678207397461,3,15042-59-11-1,35.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15042,80,11,1,1,2,79,3.0,0, , , , ,0.0,0.0,0.0,7,4,1,163.678207397461,2,15042-80-11-1,79.0,1,,,,0.0,0,0,0,1,1,0,0,0.0,0
15042,140,11,1,1,1,52,6.0,5,4, ,5,5,0.0,0.0,0.0,7,4,1,163.678207397461,5,15042-140-11-1,52.0,1,,5.0,4.0,0.0,0,0,0,1,1,0,0,0.0,0
15058,20,11,1,1,1,66,6.0,5,2,2, ,1,0.0,0.0,0.0,7,5,1,271.278656005859,3,15058-20-11-1,66.0,1,2.0,,2.0,0.0,0,0,0,1,1,0,0,0.0,0
15058,52,11,1,1,1,38,6.0,5,2,3, ,1,0.0,8.0,0.0,7,5,1,271.278656005859,5,15058-52-11-1,38.0,1,3.0,,2.0,1.0,0,1,0,1,1,0,0,1.0,0
15058,68,11,1,1,1,30,8.0,3,3,3,7,1,0.0,0.0,0.0,7,5,1,271.278656005859,2,15058-68-11-1,30.0,1,3.0,7.0,3.0,1.0,0,0,0,1,1,0,0,1.0,0
15062,4,11,1,1,2,89,3.0,3,5,3,7,1,0.0,0.0,0.0,7,5,1,138.394668579102,2,15062-4-11-1,89.0,1,3.0,7.0,5.0,1.0,0,0,0,1,1,0,0,1.0,0
15062,14,11,1,1,1,62,5.0,3,1,3, ,1,0.0,0.0,0.0,7,5,1,138.394668579102,3,15062-14-11-1,62.0,1,3.0,,1.0,1.0,0,0,0,1,1,0,0,1.0,0
15062,27,11,1,1,2,43,3.0,0,2,3, ,1,0.0,0.0,0.0,7,5,1,138.394668579102,3,15062-27-11-1,43.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15062,59,11,1,1,2,42,6.0,5, , , , ,0.0,8.0,0.0,7,5,1,138.394668579102,4,15062-59-11-1,42.0,1,,,,0.0,0,1,0,1,1,0,0,0.0,0
15062,71,11,1,1,1,47,6.0,5,1,3, ,1,0.0,0.0,0.0,7,5,1,138.394668579102,1,15062-71-11-1,47.0,1,3.0,,1.0,1.0,0,0,0,1,1,0,0,1.0,0
15063,122,11,1,1,2,44,5.0,4,2,3, ,1,0.0,8.0,0.0,7,5,2,163.678207397461,3,15063-122-11-1,44.0,1,3.0,,2.0,1.0,0,1,0,1,1,0,0,1.0,0
15063,157,11,1,1,1,70,4.0,6,2,3, ,1,0.0,0.0,0.0,7,5,1,163.678207397461,4,15063-157-11-1,70.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15064,3,11,1,1,2,65,4.0,5,2,3, ,1,0.0,0.0,0.0,7,5,1,283.740692138672,2,15064-3-11-1,65.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15064,16,11,1,1,1,54,5.0,1,2,3, ,1,0.0,0.0,0.0,7,5,1,283.740692138672,3,15064-16-11-1,54.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15064,46,11,1,1,2,87,3.0,2, , , , ,0.0,0.0,0.0,7,5,1,283.740692138672,2,15064-46-11-1,87.0,1,,,,0.0,0,0,1,1,1,0,1,0.0,1
15064,74,11,1,1,1,48,4.0,0,2,3, ,1,0.0,0.0,0.0,7,5,1,283.740692138672,6,15064-74-11-1,48.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15064,89,11,1,1,2,38,3.0,0,2,3, ,1,0.0,0.0,0.0,7,5,1,283.740692138672,3,15064-89-11-1,38.0,1,3.0,,2.0,1.0,0,0,1,1,1,0,1,1.0,1
15065,25,11,1,1,2,44,8.0,3,3, ,6,5,0.0,0.0,0.0,7,4,1,125.811553955078,1,15065-25-11-1,44.0,1,,6.0,3.0,0.0,0,0,0,1,1,0,0,0.0,0
15065,59,11,1,1,1,40,6.0,5,3,2,7,1,0.0,0.0,0.0,7,4,1,125.811553955078,4,15065-59-11-1,40.0,1,2.0,7.0,3.0,1.0,0,0,0,1,1,0,0,1.0,0
15065,111,11,1,1,2,62,5.0,3, , , , ,0.0,0.0,0.0,7,4,1,125.811553955078,1,15065-111-11-1,62.0,1,,,,0.0,0,0,0,1,1,0,0,0.0,0
15066,14,11,1,1,1,69,1.0, ,2,3, ,1,0.0,0.0,0.0,7,4,1,318.304809570313,3,15066-14-11-1,69.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15066,49,11,1,1,1,81,3.0,4, , , , ,0.0,0.0,0.0,7,4,1,318.304809570313,4,15066-49-11-1,81.0,1,,,,0.0,0,0,0,1,1,0,0,0.0,0
15067,6,11,1,1,1,52,4.0,0,4, ,5,5,0.0,0.0,0.0,7,4,2,283.740692138672,2,15067-6-11-1,52.0,1,,5.0,4.0,0.0,0,0,0,1,1,0,0,0.0,0
15067,36,11,1,1,1,27,9.0,2,3,1,7,1,0.0,8.0,0.0,7,4,1,283.740692138672,4,15067-36-11-1,27.0,1,1.0,7.0,3.0,1.0,0,1,0,1,1,0,0,1.0,0
