llave_persona,P203,P207,Edad,Ocupado,Informal,TenenciaBilletera,UsoBilletera,CreditoFormal_2024,FACTOR07,P301A,ESTRATO,DOMINIO,MIEPERHO,CONGLOME,CreditoFormal_2025,CreditoInformal_2025,P203_num,Ocupado_num,CreditoFormal_2024_num,CreditoFormal_2025_num,Informal_num,NuevoCredito
15014-25-11-1,1,2,39.0,1,1.0,1,1,0,69.4570999145508,7.0,4,4,4,15014,1,1,1,1,0,1,1.0,1
15014-39-11-1,1,1,56.0,1,1.0,0,0,0,69.4570999145508,3.0,4,4,1,15014,0,0,1,1,0,0,1.0,0
15014-96-11-1,1,2,52.0,1,1.0,0,0,0,69.4570999145508,6.0,4,4,3,15014,0,0,1,1,0,0,1.0,0
15017-2-11-1,1,2,65.0,1,0.0,0,0,0,102.967529296875,10.0,4,4,1,15017,0,0,1,1,0,0,0.0,0
15020-47-11-1,1,1,61.0,1,1.0,0,0,0,79.8167572021484,6.0,4,4,3,15020,0,0,1,1,0,0,1.0,0
15020-88-11-1,1,2,49.0,1,0.0,1,0,0,79.8167572021484,8.0,4,4,1,15020,0,0,1,1,0,0,0.0,0
15021-59-11-1,1,1,48.0,1,0.0,1,1,0,102.967529296875,8.0,4,4,5,15021,0,0,1,1,0,0,0.0,0
15042-59-11-1,1,2,35.0,1,1.0,0,0,0,163.678207397461,5.0,4,7,3,15042,0,0,1,1,0,0,1.0,0
15042-140-11-1,1,1,52.0,1,0.0,0,0,0,163.678207397461,6.0,4,7,5,15042,0,0,1,1,0,0,0.0,0
15058-20-11-1,1,1,66.0,1,0.0,0,0,0,271.278656005859,6.0,5,7,3,15058,0,0,1,1,0,0,0.0,0
15058-52-11-1,1,1,38.0,1,1.0,1,0,0,271.278656005859,6.0,5,7,5,15058,0,0,1,1,0,0,1.0,0
15058-68-11-1,1,1,30.0,1,1.0,0,0,0,271.278656005859,8.0,5,7,2,15058,0,0,1,1,0,0,1.0,0
15062-4-11-1,1,2,89.0,1,1.0,0,0,0,138.394668579102,3.0,5,7,2,15062,0,0,1,1,0,0,1.0,0
15062-14-11-1,1,1,62.0,1,0.0,0,0,0,138.394668579102,5.0,5,7,3,15062,0,0,1,1,0,0,0.0,0
15062-27-11-1,1,2,43.0,1,1.0,0,0,0,138.394668579102,3.0,5,7,3,15062,0,0,1,1,0,0,1.0,0
15062-71-11-1,1,1,47.0,1,0.0,0,0,0,138.394668579102,6.0,5,7,1,15062,0,0,1,1,0,0,0.0,0
15063-157-11-1,1,1,70.0,1,1.0,0,0,0,163.678207397461,4.0,5,7,4,15063,0,0,1,1,0,0,1.0,0
15064-3-11-1,1,2,65.0,1,1.0,0,0,0,283.740692138672,4.0,5,7,2,15064,0,0,1,1,0,0,1.0,0
15064-16-11-1,1,1,54.0,1,1.0,0,0,0,283.740692138672,5.0,5,7,3,15064,0,0,1,1,0,0,1.0,0
15064-74-11-1,1,1,48.0,1,1.0,0,0,0,283.740692138672,4.0,5,7,6,15064,0,0,1,1,0,0,1.0,0
