CONGLOME,VIVIENDA,HOGAR,CODPERSO,P203,P207,P208A,P301A,P301B,P507,P510A1,P511A,P512A,P558E1_4,P558E1_8,P558E1_9,P558G7,P558H1_7,P558H2_7,P558H3_7,P558H4_7,P558H5_7,P558H6_7,P558H7_7,P558H8_7,P558H9_7,P558H10_7,P558H11_7,P558H12_7,DOMINIO,ESTRATO,PANEL,FACTOR07,GASHOG2,MIEPERHO,llave_persona,Edad,P507_num,P510A1_num,P511A_num,Ocupado,Informal,CreditoFormal,TenenciaBilletera,UsoBilletera,CreditoInformal
015009,012,11,01,1,1,45,11,2,3, ,1,5,4.0,8.0,9.0,0,7,0,7,7,0,0,7,0,0,7,0,0,4,4, ,"87,2856903076172","28669,8828125",2,15009-12-11-1,45.0,3.0,,1.0,1,0.0,1,1,1,0
015009,012,11,02,3,2,20,9,2,2,3, ,1,0.0,8.0,0.0,0,7,7,7,7,7,7,7,0,0,7,7,0,4,4, ,"87,2856903076172","28669,8828125",2,15009-12-11-2,20.0,2.0,3.0,,1,1.0,0,1,1,0
015009,025,11,01,1,1,42,6,5,1,2, ,1,0.0,8.0,9.0,0,7,7,7,0,0,7,7,0,0,0,7,0,4,4, ,"87,2856903076172","29714,955078125",6,15009-25-11-1,42.0,1.0,2.0,,1,0.0,1,1,1,0
015009,025,11,02,2,2,36,5,3,2,3, ,1,0.0,8.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4, ,"87,2856903076172","29714,955078125",6,15009-25-11-2,36.0,2.0,3.0,,1,1.0,1,1,0,0
015009,025,11,03,3,2,18,6,5, , , , ,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4, ,"87,2856903076172","29714,955078125",6,15009-25-11-3,18.0,,,,0,,0,0,0,0
015009,025,11,04,3,2,16,5,4, , , , ,0.0,0.0,0.0, , , , , , , , , , , , , ,4,4, ,"87,2856903076172","29714,955078125",6,15009-25-11-4,16.0,,,,0,,0,0,0,0
015009,025,11,05,3,2,8,3,0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,4,4, ,"87,2856903076172","29714,955078125",6,15009-25-11-5,8.0,,,,0,,0,0,0,0
015009,025,11,06,3,2,8,3,0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,4,4, ,"87,2856903076172","29714,955078125",6,15009-25-11-6,8.0,,,,0,,0,0,0,0
015009,049,11,01,1,2,44,8,3,3,1,1,2,0.0,8.0,0.0,0,7,7,7,0,0,7,7,0,0,7,7,7,4,4, ,"87,2856903076172","42756,40234375",3,15009-49-11-1,44.0,3.0,1.0,1.0,1,0.0,0,1,1,0
015009,049,11,02,3,1,24,10,5,2,3, ,1,4.0,8.0,9.0,0,7,7,0,7,0,7,7,0,0,0,0,0,4,4, ,"87,2856903076172","42756,40234375",3,15009-49-11-2,24.0,2.0,3.0,,1,1.0,1,1,1,0
015009,049,11,03,3,1,5,2,2,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,4,4, ,"87,2856903076172","42756,40234375",3,15009-49-11-3,5.0,,,,0,,0,0,0,0
015009,061,11,01,1,2,78,1, ,2,3, ,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4, ,"87,2856903076172","10438,8076171875",1,15009-61-11-1,78.0,2.0,3.0,,1,1.0,0,0,0,0
015009,074,11,01,1,2,33,10,5,3, ,5,5,0.0,8.0,9.0,0,7,7,7,7,7,7,7,7,0,7,7,0,4,4, ,"87,2856903076172","43648,7109375",3,15009-74-11-1,33.0,3.0,,5.0,1,0.0,1,1,1,0
