id_persona,jefe_hogar,sexo,edad,ocupado,trabajador_informal,tiene_billetera,usa_billetera,credito_formal_2024,factor_expansion,nivel_educativo,estrato,dominio,miembros_hogar,conglomerado,ingreso_percapita_2024,gasto_percapita_2024,credito_formal_2025,ingreso_percapita_2025,gasto_percapita_2025,razon_no_credito,razon_demanda,razon_deuda,razon_intereses,razon_costos,razon_requisitos,razon_infocorp,razon_otro,tiene_barrera_credito,credito_informal_2025,nuevo_credito_formal
15014-25-11-1,1,2,39.0,1,1.0,1,1,0,69.4570999145508,7.0,4,4,4,15014,4260.55712890625,3842.056640625,1,6646.53369140625,4938.5087890625,10.0,0,0,0,0,1,0,0,1,1,1
15014-39-11-1,1,1,56.0,1,1.0,0,0,0,69.4570999145508,3.0,4,4,1,15014,18022.0546875,10757.1953125,0,16669.876953125,13982.568359375,6.0,1,0,0,0,0,0,0,0,0,0
15014-82-11-1,1,2,31.0,1,1.0,1,1,0,69.4570999145508,6.0,4,4,5,15014,9279.4,5076.257421875,0,7344.35390625,10556.35390625,6.0,1,0,0,0,0,0,0,0,0,0
15014-96-11-1,1,2,52.0,1,1.0,0,0,0,69.4570999145508,6.0,4,4,3,15014,3415.76953125,2789.745442708333,0,3051.333333333333,2036.6259765625,6.0,1,0,0,0,0,0,0,0,0,0
15017-2-11-1,1,2,65.0,1,0.0,0,0,0,102.967529296875,10.0,4,4,1,15017,40353.83203125,26017.236328125,0,21420.166015625,27953.814453125,6.0,1,0,0,0,0,0,0,0,0,0
15020-47-11-1,1,1,61.0,1,1.0,0,0,0,79.8167572021484,6.0,4,4,3,15020,10515.309895833334,9885.264322916666,0,5861.600260416667,8511.0859375,6.0,1,0,0,0,0,0,0,0,0,0
15020-88-11-1,1,2,49.0,1,0.0,1,0,0,79.8167572021484,8.0,4,4,1,15020,15377.0,18058.73828125,0,33420.85546875,27278.095703125,8.0,0,0,1,0,0,0,0,1,0,0
15021-59-11-1,1,1,48.0,1,0.0,1,1,0,102.967529296875,8.0,4,4,5,15021,26133.7125,20010.0296875,0,21892.986328125,20018.39453125,7.0,0,1,0,0,0,0,0,1,0,0
15023-83-11-1,1,2,63.0,1,0.0,0,0,0,102.967529296875,11.0,4,4,4,15023,13214.2705078125,7138.05810546875,0,17583.822265625,13901.90625,6.0,1,0,0,0,0,0,0,0,0,0
15023-95-11-1,1,2,36.0,1,0.0,1,1,0,102.967529296875,7.0,4,4,3,15023,28752.6171875,26753.1640625,1,21486.57942708333,17370.071614583332,6.0,1,0,0,0,0,0,0,0,0,1
15024-26-11-1,1,1,67.0,1,0.0,0,0,0,263.821685791016,4.0,4,4,2,15024,20879.00390625,14596.0126953125,0,10985.5390625,11788.4013671875,6.0,1,0,0,0,0,0,0,0,0,0
15024-69-11-1,1,2,26.0,1,1.0,1,1,0,263.821685791016,7.0,4,4,3,15024,8398.574869791666,13114.717447916666,0,8557.647786458334,8143.822916666667,6.0,1,0,0,0,0,0,0,0,0,0
15028-9-11-1,1,2,43.0,1,1.0,1,0,0,255.607803344727,5.0,5,4,2,15028,4608.1396484375,5710.54541015625,0,9134.83203125,8658.2314453125,6.0,1,0,0,0,0,0,0,0,0,0
15028-44-11-1,1,1,57.0,1,1.0,0,0,0,255.607803344727,6.0,5,4,2,15028,9951.2119140625,11439.0205078125,0,18174.103515625,15134.98828125,6.0,1,0,0,0,0,0,0,0,0,0
15028-57-11-1,1,1,56.0,1,0.0,0,0,0,255.607803344727,4.0,5,4,1,15028,19441.025390625,10657.6435546875,0,13983.8291015625,14786.7646484375,6.0,1,0,0,0,0,0,0,0,0,0
15028-86-11-1,1,1,34.0,1,0.0,1,1,0,255.607803344727,11.0,5,4,5,15028,6623.3,7340.31015625,0,8269.5609375,8461.84453125,6.0,1,0,0,0,0,0,0,0,0,0
15029-3-11-1,1,2,65.0,1,1.0,0,0,0,263.821685791016,1.0,5,4,5,15029,8753.51328125,4831.274609375,0,10059.9033203125,6917.45263671875,6.0,1,0,0,0,0,0,0,0,0,0
15029-17-11-1,1,2,63.0,1,1.0,0,0,0,263.821685791016,1.0,5,4,5,15029,1436.9220703125,2962.5611328125,0,6900.09609375,5536.848046875,6.0,1,0,0,0,0,0,0,0,0,0
15042-59-11-1,1,2,35.0,1,1.0,0,0,0,163.678207397461,5.0,4,7,3,15042,10662.609375,7777.77734375,0,10497.085286458334,11060.227864583334,6.0,1,0,0,0,0,0,0,0,0,0
15042-140-11-1,1,1,52.0,1,0.0,0,0,0,163.678207397461,6.0,4,7,5,15042,10134.934375,10022.39375,0,12362.8703125,7303.54921875,6.0,1,0,0,0,0,0,0,0,0,0
15058-20-11-1,1,1,66.0,1,0.0,0,0,0,271.278656005859,6.0,5,7,3,15058,13531.0703125,16979.75,0,13968.89453125,10224.008463541666,8.0,0,0,1,0,0,0,0,1,0,0
15058-52-11-1,1,1,38.0,1,1.0,1,0,0,271.278656005859,6.0,5,7,5,15058,3426.112890625,5864.0984375,0,7123.97578125,7672.9203125,8.0,0,0,1,0,0,0,0,1,0,0
15058-68-11-1,1,1,30.0,1,1.0,0,0,0,271.278656005859,8.0,5,7,2,15058,16051.103515625,13413.9013671875,0,21291.50390625,14643.9521484375,10.0,0,0,0,0,1,0,0,1,0,0
15062-4-11-1,1,2,89.0,1,1.0,0,0,0,138.394668579102,3.0,5,7,2,15062,6866.2001953125,5162.8671875,0,26902.28515625,27479.8359375,8.0,0,0,1,0,0,0,0,1,0,0
15062-14-11-1,1,1,62.0,1,0.0,0,0,0,138.394668579102,5.0,5,7,3,15062,7658.647786458333,9193.192057291666,0,7462.649088541667,5773.716796875,8.0,0,0,1,0,0,0,0,1,0,0
15062-27-11-1,1,2,43.0,1,1.0,0,0,0,138.394668579102,3.0,5,7,3,15062,4515.880208333333,3185.5807291666665,0,4132.6533203125,4550.653645833333,8.0,0,0,1,0,0,0,0,1,0,0
15062-71-11-1,1,1,47.0,1,0.0,0,0,0,138.394668579102,6.0,5,7,1,15062,20180.607421875,14064.58984375,0,25171.361328125,15325.2724609375,8.0,0,0,1,0,0,0,0,1,0,0
15063-122-11-1,1,2,44.0,1,1.0,1,1,0,163.678207397461,5.0,5,7,3,15063,11044.919270833334,11459.587239583334,0,24315.20052083333,15517.5546875,8.0,0,0,1,0,0,0,0,1,0,0
15063-157-11-1,1,1,70.0,1,1.0,0,0,0,163.678207397461,4.0,5,7,4,15063,13683.0673828125,12843.0732421875,0,14268.3505859375,9300.708984375,6.0,1,0,0,0,0,0,0,0,0,0
15064-3-11-1,1,2,65.0,1,1.0,0,0,0,283.740692138672,4.0,5,7,2,15064,11332.048828125,9454.8466796875,0,8302.177734375,6998.181640625,6.0,1,0,0,0,0,0,0,0,0,0
15064-16-11-1,1,1,54.0,1,1.0,0,0,0,283.740692138672,5.0,5,7,3,15064,6081.876302083333,5682.557291666667,0,6642.254557291667,6155.521484375,6.0,1,0,0,0,0,0,0,0,0,0
15064-74-11-1,1,1,48.0,1,1.0,0,0,0,283.740692138672,4.0,5,7,6,15064,3348.8658854166665,3416.2890625,0,7232.0859375,6525.6982421875,6.0,1,0,0,0,0,0,0,0,0,0
15064-89-11-1,1,2,38.0,1,1.0,0,0,0,283.740692138672,3.0,5,7,3,15064,8177.853515625,9833.091796875,1,7835.865234375,8713.15625,7.0,0,1,0,0,0,0,0,1,0,1
15065-25-11-1,1,2,44.0,1,0.0,0,0,0,125.811553955078,8.0,4,7,1,15065,22792.35546875,18432.271484375,0,29030.90234375,27676.119140625,8.0,0,0,1,0,0,0,0,1,0,0
15065-59-11-1,1,1,40.0,1,1.0,0,0,0,125.811553955078,6.0,4,7,4,15065,8136.68505859375,9201.484375,0,14246.2470703125,7711.068359375,8.0,0,0,1,0,0,0,0,1,0,0
15066-14-11-1,1,1,69.0,1,1.0,0,0,0,318.304809570313,1.0,4,7,3,15066,2733.431966145833,2957.2119140625,0,2601.12939453125,2070.9415690104165,6.0,1,0,0,0,0,0,0,0,0,0
15067-6-11-1,1,1,52.0,1,0.0,0,0,0,283.740692138672,4.0,4,7,2,15067,17687.037109375,6714.01416015625,0,9702.5,6379.29052734375,6.0,1,0,0,0,0,0,0,0,0,0
15067-36-11-1,1,1,27.0,1,1.0,1,1,0,283.740692138672,9.0,4,7,4,15067,4468.00439453125,7668.59130859375,0,6582.6103515625,6315.50390625,6.0,1,0,0,0,0,0,0,0,0,0
15067-95-11-1,1,1,46.0,1,1.0,0,0,0,283.740692138672,4.0,4,7,2,15067,7213.884765625,6340.673828125,1,27774.509765625,30058.61328125,8.0,0,0,1,0,0,0,0,1,0,1
15068-12-11-1,1,1,43.0,1,1.0,0,0,0,271.278656005859,6.0,5,7,4,15068,11851.705078125,10258.67578125,0,17364.35546875,31276.791015625,8.0,0,0,1,0,0,0,0,1,0,0
15068-52-11-1,1,1,64.0,1,1.0,0,0,0,271.278656005859,4.0,5,7,4,15068,1992.2705078125,2215.868896484375,0,4627.8759765625,3684.7607421875,6.0,1,0,0,0,0,0,0,0,0,0
15068-79-11-1,1,2,27.0,1,1.0,0,0,0,271.278656005859,7.0,5,7,3,15068,7677.42578125,6337.29296875,0,10057.2421875,8292.44140625,6.0,1,0,0,0,0,0,0,0,0,0
15068-94-11-1,1,1,48.0,1,0.0,0,0,0,271.278656005859,7.0,5,7,4,15068,5166.2978515625,4994.2841796875,0,3402.99951171875,4752.63037109375,8.0,0,0,1,0,0,0,0,1,0,0
15069-59-11-1,1,2,69.0,1,1.0,0,0,0,302.895935058594,5.0,4,7,1,15069,18683.66015625,15599.390625,0,18832.29296875,15689.18359375,7.0,0,1,0,0,0,0,0,1,0,0
15069-95-11-1,1,1,68.0,1,0.0,1,0,0,302.895935058594,10.0,4,7,3,15069,26490.1171875,15939.602864583334,0,15236.723958333334,10522.967447916666,6.0,1,0,0,0,0,0,0,0,0,0
15070-28-11-1,1,1,61.0,1,1.0,0,0,0,283.740692138672,3.0,4,7,2,15070,9100.9521484375,7720.25830078125,0,25974.64453125,13551.958984375,6.0,1,0,0,0,0,0,0,0,0,0
15070-88-11-1,1,1,77.0,1,1.0,0,0,0,283.740692138672,4.0,4,7,2,15070,8182.962890625,7855.62890625,0,13745.8525390625,12168.3671875,6.0,1,0,0,0,0,0,0,0,0,0
15070-108-11-1,1,2,51.0,1,1.0,0,0,0,283.740692138672,3.0,4,7,4,15070,23214.61328125,10741.4091796875,0,10859.7119140625,7071.7216796875,8.0,0,0,1,0,0,0,0,1,0,0
15071-2-11-1,1,1,41.0,1,0.0,1,0,0,318.304809570313,6.0,5,7,7,15071,16890.2578125,8875.93638392857,0,13960.109375,8924.39732142857,8.0,0,0,1,0,0,0,0,1,0,0
15071-32-11-1,1,2,34.0,1,1.0,0,0,0,318.304809570313,5.0,5,7,6,15071,5401.2080078125,5017.765625,0,6784.501302083333,3719.9541015625,8.0,0,0,1,0,0,0,0,1,0,0
15072-65-11-1,1,2,57.0,1,1.0,0,0,0,318.304809570313,6.0,4,7,5,15072,7711.91171875,5023.836328125,0,8283.26953125,5445.743359375,6.0,1,0,0,0,0,0,0,0,0,0
15072-98-11-1,1,2,58.0,1,1.0,0,0,0,318.304809570313,4.0,4,7,2,15072,11061.6376953125,13816.572265625,0,20487.953125,18153.78125,11.0,0,0,0,0,0,1,0,1,0,0
15073-99-11-1,1,1,73.0,1,1.0,0,0,0,318.304809570313,3.0,5,7,2,15073,17386.388671875,12036.1884765625,0,7050.6103515625,8638.369140625,12.0,0,0,0,0,0,0,1,1,0,0
15073-130-11-1,1,1,42.0,1,1.0,0,0,0,318.304809570313,5.0,5,7,3,15073,8633.947916666666,5575.631510416667,0,3625.6025390625,3433.906982421875,6.0,1,0,0,0,0,0,0,0,0,0
15074-4-11-1,1,1,65.0,1,1.0,0,0,0,283.740692138672,5.0,5,7,3,15074,21698.3359375,11113.490885416666,0,11118.3203125,7651.944661458333,6.0,1,0,0,0,0,0,0,0,0,0
15074-18-11-1,1,1,42.0,1,0.0,1,0,0,283.740692138672,10.0,5,7,3,15074,50390.473958333336,20874.94270833333,0,66752.2578125,19805.8359375,12.0,0,0,0,0,0,0,1,1,0,0
15074-46-11-1,1,2,37.0,1,1.0,0,0,0,283.740692138672,4.0,5,7,3,15074,11085.41796875,6706.746744791667,0,15968.234375,10103.072265625,6.0,1,0,0,0,0,0,0,0,0,0
15074-59-11-1,1,1,66.0,1,1.0,0,0,0,283.740692138672,6.0,5,7,3,15074,7783.347005208333,8087.370442708333,0,10173.874348958334,8665.759765625,6.0,1,0,0,0,0,0,0,0,0,0
15074-74-11-1,1,1,27.0,1,1.0,1,1,0,283.740692138672,6.0,5,7,4,15074,3970.2236328125,5832.03759765625,0,7928.3056640625,6289.607421875,6.0,1,0,0,0,0,0,0,0,0,0
15074-88-11-1,1,1,47.0,1,1.0,0,0,0,283.740692138672,6.0,5,7,3,15074,7844.947265625,6463.584635416667,0,6853.946614583333,6400.027994791667,6.0,1,0,0,0,0,0,0,0,0,0
15075-9-11-1,1,1,51.0,1,0.0,0,0,0,302.895935058594,6.0,5,7,4,15075,13333.080078125,15636.8193359375,0,36264.953125,28378.359375,6.0,1,0,0,0,0,0,0,0,0,0
15075-46-11-1,1,2,55.0,1,1.0,1,0,0,302.895935058594,3.0,5,7,3,15075,7270.875651041667,8333.416666666666,0,13630.05078125,10614.094401041666,6.0,1,0,0,0,0,0,0,0,0,0
15075-82-11-1,1,1,46.0,1,1.0,0,0,0,302.895935058594,3.0,5,7,4,15075,4132.955078125,4010.59375,0,6718.181640625,4048.351318359375,6.0,1,0,0,0,0,0,0,0,0,0
15075-101-11-1,1,1,40.0,1,1.0,0,0,0,302.895935058594,4.0,5,7,4,15075,4593.787109375,4286.71875,0,6991.04736328125,5029.1845703125,6.0,1,0,0,0,0,0,0,0,0,0
15075-120-11-1,1,1,41.0,1,1.0,0,0,0,302.895935058594,6.0,5,7,3,15075,4275.296223958333,5319.040364583333,0,17638.622395833332,5980.821614583333,6.0,1,0,0,0,0,0,0,0,0,0
15078-29-11-1,1,1,73.0,1,1.0,0,0,0,78.585823059082,3.0,6,4,3,15078,3649.339518229168,3939.4580078125,0,4928.94375,3993.688671875,6.0,1,0,0,0,0,0,0,0,0,0
15078-38-11-1,1,1,55.0,1,1.0,0,0,0,78.585823059082,4.0,6,4,1,15078,9962.6455078125,8541.0341796875,0,11331.1845703125,7229.12548828125,6.0,1,0,0,0,0,0,0,0,0,0
15078-57-11-1,1,1,38.0,1,1.0,0,0,0,78.585823059082,4.0,6,4,6,15078,3451.6005859375,3429.612630208333,1,2430.7540690104165,3050.961263020833,6.0,1,0,0,0,0,0,0,0,0,1
15078-75-11-1,1,1,51.0,1,1.0,0,0,0,78.585823059082,4.0,6,4,4,15078,9989.896484375,7522.32861328125,0,5417.415690104167,6339.981770833333,7.0,0,1,0,0,0,0,0,1,0,0
15085-8-11-1,1,2,83.0,1,1.0,0,0,0,80.3816604614258,3.0,8,4,2,15085,8415.8271484375,6527.5859375,0,8829.4736328125,8848.8740234375,6.0,1,0,0,0,0,0,0,0,0,0
15085-32-11-1,1,2,69.0,1,1.0,0,0,0,80.3816604614258,3.0,8,4,1,15085,5713.91796875,4815.6142578125,0,9789.2890625,4302.91162109375,6.0,1,0,0,0,0,0,0,0,0,0
15085-37-11-1,1,1,57.0,1,1.0,0,0,0,80.3816604614258,6.0,8,4,3,15085,10282.977213541666,12299.493489583334,0,28184.35677083333,15834.83984375,6.0,1,0,0,0,0,0,0,0,0,0
15085-38-11-1,1,1,69.0,1,1.0,0,0,0,80.3816604614258,4.0,8,4,2,15085,7206.201171875,6815.2509765625,0,7781.642578125,4471.65478515625,6.0,1,0,0,0,0,0,0,0,0,0
15085-40-11-1,1,1,47.0,1,1.0,0,0,0,80.3816604614258,5.0,8,4,3,15085,6011.007161458333,7119.25390625,0,6366.297526041667,7860.104166666667,6.0,1,0,0,0,0,0,0,0,0,0
15090-29-11-1,1,1,72.0,1,1.0,0,0,0,74.3708267211914,4.0,8,4,2,15090,5918.8515625,4441.15478515625,0,7622.46337890625,6362.16162109375,12.0,0,0,0,0,0,0,1,1,0,0
15090-31-11-1,1,1,54.0,1,1.0,0,0,0,74.3708267211914,3.0,8,4,4,15090,7385.01953125,6403.8671875,0,5094.07373046875,6098.5107421875,6.0,1,0,0,0,0,0,0,0,0,0
15090-32-11-1,1,1,77.0,1,1.0,0,0,0,74.3708267211914,3.0,8,4,3,15090,5200.9560546875,6752.313802083333,0,6100.375,5778.966796875,6.0,1,0,0,0,0,0,0,0,0,0
15090-77-11-1,1,1,39.0,1,1.0,0,0,0,74.3708267211914,3.0,8,4,6,15090,3496.802734375,2587.5203450520835,0,4294.250325520833,2995.81640625,12.0,0,0,0,0,0,0,1,1,0,0
15090-84-11-1,1,2,71.0,1,1.0,0,0,0,74.3708267211914,3.0,8,4,2,15090,6215.53173828125,6475.048828125,0,12971.17578125,10921.998046875,6.0,1,0,0,0,0,0,0,0,0,0
15090-85-11-1,1,1,35.0,1,1.0,0,0,0,74.3708267211914,4.0,8,4,4,15090,4493.99169921875,5126.96142578125,0,10793.2578125,5865.59765625,6.0,1,0,0,0,0,0,0,0,0,0
15096-25-11-1,1,1,75.0,1,1.0,0,0,0,74.3708267211914,3.0,7,4,2,15096,3655.571533203125,5453.52685546875,0,8243.80859375,8677.1923828125,6.0,1,0,0,0,0,0,0,0,0,0
15096-26-11-1,1,1,74.0,1,1.0,0,0,0,74.3708267211914,6.0,7,4,4,15096,18667.53125,9171.7197265625,0,11997.78125,15127.806640625,6.0,1,0,0,0,0,0,0,0,0,0
15096-27-11-1,1,2,32.0,1,1.0,1,1,0,74.3708267211914,6.0,7,4,4,15096,7231.3701171875,7929.62841796875,0,9108.8583984375,12216.5888671875,6.0,1,0,0,0,0,0,0,0,0,0
15096-87-11-1,1,1,57.0,1,1.0,0,0,0,74.3708267211914,3.0,7,4,4,15096,3911.59716796875,4670.27490234375,0,6392.4921875,5845.78466796875,6.0,1,0,0,0,0,0,0,0,0,0
15096-89-11-1,1,1,38.0,1,0.0,0,0,0,74.3708267211914,4.0,7,4,1,15096,10038.9296875,9497.3447265625,1,6995.57080078125,12466.9765625,7.0,0,1,0,0,0,0,0,1,1,1
15097-3-11-1,1,1,56.0,1,1.0,0,0,0,80.3816604614258,9.0,8,4,2,15097,14748.294921875,6282.06298828125,0,24822.58203125,9542.2119140625,6.0,1,0,0,0,0,0,0,0,0,0
15097-62-11-1,1,1,45.0,1,0.0,0,0,0,80.3816604614258,4.0,8,4,3,15097,4271.4248046875,11025.240885416666,0,14229.544270833334,11813.415364583334,6.0,1,0,0,0,0,0,0,0,0,0
15098-24-11-1,1,1,68.0,1,1.0,0,0,0,80.3816604614258,4.0,6,4,2,15098,5873.171875,1905.452880859375,0,7698.89306640625,3840.24462890625,6.0,1,0,0,0,0,0,0,0,0,0
15098-32-11-1,1,1,56.0,1,1.0,0,0,0,80.3816604614258,5.0,6,4,1,15098,11102.453125,6072.37744140625,0,17153.97265625,14438.75,6.0,1,0,0,0,0,0,0,0,0,0
15098-50-11-1,1,1,59.0,1,1.0,0,0,0,80.3816604614258,3.0,6,4,4,15098,2828.01171875,2615.841796875,0,8437.765625,5265.4267578125,6.0,1,0,0,0,0,0,0,0,0,0
15098-67-11-1,1,1,56.0,1,1.0,0,0,0,80.3816604614258,4.0,6,4,2,15098,5525.41064453125,3856.59814453125,0,9791.8486328125,6024.6318359375,6.0,1,0,0,0,0,0,0,0,0,0
15098-85-11-1,1,1,62.0,1,1.0,0,0,0,80.3816604614258,4.0,6,4,4,15098,4165.341796875,3110.851806640625,0,4030.21826171875,4686.7177734375,6.0,1,0,0,0,0,0,0,0,0,0
15099-74-11-1,1,1,37.0,1,1.0,1,0,0,78.585823059082,4.0,7,4,5,15099,2564.821484375,2852.7373046875,0,2351.9718424479165,2458.17333984375,12.0,0,0,0,0,0,0,1,1,0,0
15099-158-11-1,1,1,49.0,1,1.0,0,0,0,78.585823059082,3.0,7,4,3,15099,5382.953776041667,6326.211588541667,0,6987.67578125,4010.0901692708335,8.0,0,0,1,0,0,0,0,1,0,0
15099-159-11-1,1,1,75.0,1,1.0,0,0,0,78.585823059082,4.0,7,4,2,15099,3563.145263671875,5350.8095703125,0,6161.17041015625,4096.4208984375,9.0,0,0,0,1,0,0,0,1,0,0
