id_persona,jefe_hogar,sexo,edad,ocupado,trabajador_informal,tiene_billetera,usa_billetera,credito_formal_2024,factor_expansion,nivel_educativo,estrato,dominio,miembros_hogar,conglomerado,ingreso_percapita_2024,gasto_percapita_2024,credito_formal_2025,ingreso_percapita_2025,gasto_percapita_2025,razon_no_credito,razon_demanda,razon_deuda,razon_intereses,razon_costos,razon_requisitos,razon_infocorp,razon_otro,tiene_barrera_credito,credito_informal_2025,nuevo_credito_formal
15014-25-11-1,1,2,39.0,1,1.0,1,1,0,69.4570999145508,7.0,4,4,4,15014,4260.55712890625,3842.056640625,1,6646.53369140625,4938.5087890625,10.0,0,0,0,0,1,0,0,1,1,1
15020-88-11-1,1,2,49.0,1,0.0,1,0,0,79.8167572021484,8.0,4,4,1,15020,15377.0,18058.73828125,0,33420.85546875,27278.095703125,8.0,0,0,1,0,0,0,0,1,0,0
15021-59-11-1,1,1,48.0,1,0.0,1,1,0,102.967529296875,8.0,4,4,5,15021,26133.7125,20010.0296875,0,21892.986328125,20018.39453125,7.0,0,1,0,0,0,0,0,1,0,0
15058-20-11-1,1,1,66.0,1,0.0,0,0,0,271.278656005859,6.0,5,7,3,15058,13531.0703125,16979.75,0,13968.89453125,10224.008463541666,8.0,0,0,1,0,0,0,0,1,0,0
15058-52-11-1,1,1,38.0,1,1.0,1,0,0,271.278656005859,6.0,5,7,5,15058,3426.112890625,5864.0984375,0,7123.97578125,7672.9203125,8.0,0,0,1,0,0,0,0,1,0,0
15058-68-11-1,1,1,30.0,1,1.0,0,0,0,271.278656005859,8.0,5,7,2,15058,16051.103515625,13413.9013671875,0,21291.50390625,14643.9521484375,10.0,0,0,0,0,1,0,0,1,0,0
15062-4-11-1,1,2,89.0,1,1.0,0,0,0,138.394668579102,3.0,5,7,2,15062,6866.2001953125,5162.8671875,0,26902.28515625,27479.8359375,8.0,0,0,1,0,0,0,0,1,0,0
15062-14-11-1,1,1,62.0,1,0.0,0,0,0,138.394668579102,5.0,5,7,3,15062,7658.647786458333,9193.192057291666,0,7462.649088541667,5773.716796875,8.0,0,0,1,0,0,0,0,1,0,0
15062-27-11-1,1,2,43.0,1,1.0,0,0,0,138.394668579102,3.0,5,7,3,15062,4515.880208333333,3185.5807291666665,0,4132.6533203125,4550.653645833333,8.0,0,0,1,0,0,0,0,1,0,0
15062-71-11-1,1,1,47.0,1,0.0,0,0,0,138.394668579102,6.0,5,7,1,15062,20180.607421875,14064.58984375,0,25171.361328125,15325.2724609375,8.0,0,0,1,0,0,0,0,1,0,0
15063-122-11-1,1,2,44.0,1,1.0,1,1,0,163.678207397461,5.0,5,7,3,15063,11044.919270833334,11459.587239583334,0,24315.20052083333,15517.5546875,8.0,0,0,1,0,0,0,0,1,0,0
15064-89-11-1,1,2,38.0,1,1.0,0,0,0,283.740692138672,3.0,5,7,3,15064,8177.853515625,9833.091796875,1,7835.865234375,8713.15625,7.0,0,1,0,0,0,0,0,1,0,1
15065-25-11-1,1,2,44.0,1,0.0,0,0,0,125.811553955078,8.0,4,7,1,15065,22792.35546875,18432.271484375,0,29030.90234375,27676.119140625,8.0,0,0,1,0,0,0,0,1,0,0
15065-59-11-1,1,1,40.0,1,1.0,0,0,0,125.811553955078,6.0,4,7,4,15065,8136.68505859375,9201.484375,0,14246.2470703125,7711.068359375,8.0,0,0,1,0,0,0,0,1,0,0
15067-95-11-1,1,1,46.0,1,1.0,0,0,0,283.740692138672,4.0,4,7,2,15067,7213.884765625,6340.673828125,1,27774.509765625,30058.61328125,8.0,0,0,1,0,0,0,0,1,0,1
15068-12-11-1,1,1,43.0,1,1.0,0,0,0,271.278656005859,6.0,5,7,4,15068,11851.705078125,10258.67578125,0,17364.35546875,31276.791015625,8.0,0,0,1,0,0,0,0,1,0,0
15068-94-11-1,1,1,48.0,1,0.0,0,0,0,271.278656005859,7.0,5,7,4,15068,5166.2978515625,4994.2841796875,0,3402.99951171875,4752.63037109375,8.0,0,0,1,0,0,0,0,1,0,0
15069-59-11-1,1,2,69.0,1,1.0,0,0,0,302.895935058594,5.0,4,7,1,15069,18683.66015625,15599.390625,0,18832.29296875,15689.18359375,7.0,0,1,0,0,0,0,0,1,0,0
15070-108-11-1,1,2,51.0,1,1.0,0,0,0,283.740692138672,3.0,4,7,4,15070,23214.61328125,10741.4091796875,0,10859.7119140625,7071.7216796875,8.0,0,0,1,0,0,0,0,1,0,0
15071-2-11-1,1,1,41.0,1,0.0,1,0,0,318.304809570313,6.0,5,7,7,15071,16890.2578125,8875.93638392857,0,13960.109375,8924.39732142857,8.0,0,0,1,0,0,0,0,1,0,0
15071-32-11-1,1,2,34.0,1,1.0,0,0,0,318.304809570313,5.0,5,7,6,15071,5401.2080078125,5017.765625,0,6784.501302083333,3719.9541015625,8.0,0,0,1,0,0,0,0,1,0,0
15072-98-11-1,1,2,58.0,1,1.0,0,0,0,318.304809570313,4.0,4,7,2,15072,11061.6376953125,13816.572265625,0,20487.953125,18153.78125,11.0,0,0,0,0,0,1,0,1,0,0
15073-99-11-1,1,1,73.0,1,1.0,0,0,0,318.304809570313,3.0,5,7,2,15073,17386.388671875,12036.1884765625,0,7050.6103515625,8638.369140625,12.0,0,0,0,0,0,0,1,1,0,0
15074-18-11-1,1,1,42.0,1,0.0,1,0,0,283.740692138672,10.0,5,7,3,15074,50390.473958333336,20874.94270833333,0,66752.2578125,19805.8359375,12.0,0,0,0,0,0,0,1,1,0,0
15078-75-11-1,1,1,51.0,1,1.0,0,0,0,78.585823059082,4.0,6,4,4,15078,9989.896484375,7522.32861328125,0,5417.415690104167,6339.981770833333,7.0,0,1,0,0,0,0,0,1,0,0
15090-29-11-1,1,1,72.0,1,1.0,0,0,0,74.3708267211914,4.0,8,4,2,15090,5918.8515625,4441.15478515625,0,7622.46337890625,6362.16162109375,12.0,0,0,0,0,0,0,1,1,0,0
15090-77-11-1,1,1,39.0,1,1.0,0,0,0,74.3708267211914,3.0,8,4,6,15090,3496.802734375,2587.5203450520835,0,4294.250325520833,2995.81640625,12.0,0,0,0,0,0,0,1,1,0,0
15096-89-11-1,1,1,38.0,1,0.0,0,0,0,74.3708267211914,4.0,7,4,1,15096,10038.9296875,9497.3447265625,1,6995.57080078125,12466.9765625,7.0,0,1,0,0,0,0,0,1,1,1
15099-74-11-1,1,1,37.0,1,1.0,1,0,0,78.585823059082,4.0,7,4,5,15099,2564.821484375,2852.7373046875,0,2351.9718424479165,2458.17333984375,12.0,0,0,0,0,0,0,1,1,0,0
