CONGLOME,VIVIENDA,HOGAR,CODPERSO,P203,P207,P208A,P301A,P301B,P507,P510A1,P511A,P512A,P558E1_4,P558E1_8,P558E1_9,DOMINIO,ESTRATO,PANEL,FACTOR07,MIEPERHO,llave_persona,Edad,Ocupado,P510A1_num,P511A_num,P507_num,Informal,CreditoFormal,Billetera
010651,013,11,01,1,1,74,8,3, , , , ,0.0,8.0,0.0,2,4, ,115.81494140625,4,010651-013-11-01,74.0,1,,,,0.0,0,1
010651,013,11,02,2,2,70,6,5,3,1,7,1,0.0,8.0,0.0,2,4, ,115.81494140625,4,010651-013-11-02,70.0,1,1.0,7.0,3.0,1.0,0,1
010651,013,11,03,5,2,22,9,3, , , , ,0.0,8.0,0.0,2,4, ,115.81494140625,4,010651-013-11-03,22.0,1,,,,0.0,0,1
010651,013,11,04,5,1,19,6,5, , , , ,0.0,8.0,0.0,2,4, ,115.81494140625,4,010651-013-11-04,19.0,1,,,,0.0,0,1
010651,026,11,01,1,1,48,6,5,1,1, ,1,0.0,8.0,0.0,2,4, ,115.81494140625,5,010651-026-11-01,48.0,1,1.0,,1.0,0.0,0,1
010651,026,11,02,2,2,40,6,5,5,1,7,1,0.0,8.0,0.0,2,4, ,115.81494140625,5,010651-026-11-02,40.0,1,1.0,7.0,5.0,1.0,0,1
010651,026,11,03,3,1,24,9,3, , , , ,0.0,8.0,0.0,2,4, ,115.81494140625,5,010651-026-11-03,24.0,1,,,,0.0,0,1
010651,026,11,04,3,2,20,6,5, , , , ,0.0,8.0,0.0,2,4, ,115.81494140625,5,010651-026-11-04,20.0,1,,,,0.0,0,1
010651,026,11,05,6,2,89,4,5, , , , ,0.0,8.0,0.0,2,4, ,115.81494140625,5,010651-026-11-05,89.0,1,,,,0.0,0,1
010651,055,11,01,1,1,52,6,5,4,1,2,1,0.0,8.0,0.0,2,4, ,115.81494140625,4,010651-055-11-01,52.0,1,1.0,2.0,4.0,0.0,0,1
010651,055,11,02,2,2,38,8,3,3,1,2,1,0.0,8.0,0.0,2,4, ,115.81494140625,4,010651-055-11-02,38.0,1,1.0,2.0,3.0,0.0,0,1
010651,055,11,03,3,2,9,3,0,,,,,0.0,0.0,0.0,2,4, ,115.81494140625,4,010651-055-11-03,9.0,0,,,,,0,0
010651,055,11,04,6,2,89,4,5, , , , ,0.0,8.0,0.0,2,4, ,115.81494140625,4,010651-055-11-04,89.0,1,,,,0.0,0,1
010651,069,11,01,1,1,48,6,5,4,3,7,1,0.0,8.0,0.0,2,4, ,115.81494140625,2,010651-069-11-01,48.0,1,3.0,7.0,4.0,1.0,0,1
