llave_persona,P203,P207,Edad,Ocupado,Informal,Billetera,CreditoFormal_2024,FACTOR07,P301A,CreditoFormal_2025
15014-10-11-1,1,2,68.0,1,1.0,0,1,69.4570999145508,1.0,0
15014-10-11-2,0, ,,0,,0,0,69.4570999145508,,0
15014-10-11-3,0, ,,0,,0,0,69.4570999145508,,0
15014-10-11-4,0, ,,0,,0,0,69.4570999145508,,0
15014-10-11-5,0, ,,0,,0,0,69.4570999145508,,0
15014-10-11-6,0, ,,0,,0,0,69.4570999145508,,0
15014-25-11-1,1,2,39.0,1,1.0,1,0,69.4570999145508,7.0,1
15014-25-11-2,3,1,23.0,1,0.0,0,0,69.4570999145508,9.0,0
15014-25-11-3,3,1,7.0,0,,0,0,69.4570999145508,3.0,0
15014-25-11-4,3,1,5.0,0,,0,0,69.4570999145508,2.0,0
15014-39-11-1,1,1,56.0,1,1.0,0,0,69.4570999145508,3.0,0
15014-68-11-1,1,1,44.0,1,1.0,0,1,69.4570999145508,6.0,1
15014-68-11-2,2,2,37.0,1,0.0,1,1,69.4570999145508,7.0,1
15014-68-11-3,3,1,19.0,1,1.0,1,0,69.4570999145508,6.0,0
15014-68-11-4,3,2,13.0,0,,0,0,69.4570999145508,5.0,0
15014-68-11-5,3,1,11.0,0,,0,0,69.4570999145508,3.0,0
15014-82-11-1,1,2,31.0,1,1.0,1,0,69.4570999145508,6.0,0
15014-82-11-2,3,2,15.0,1,0.0,0,0,69.4570999145508,5.0,0
15014-82-11-3,3,2,13.0,0,,0,0,69.4570999145508,4.0,0
15014-82-11-4,3,2,11.0,0,,0,0,69.4570999145508,3.0,0
15014-82-11-5,3,1,9.0,0,,0,0,69.4570999145508,3.0,0
15014-82-11-6,0, ,,0,,0,0,69.4570999145508,,0
15014-96-11-1,1,2,52.0,1,1.0,0,0,69.4570999145508,6.0,0
15014-96-11-2,3,2,16.0,1,0.0,0,0,69.4570999145508,5.0,0
15014-96-11-3,6,2,70.0,1,0.0,0,0,69.4570999145508,1.0,0
15014-96-11-4,0, ,,0,,0,0,69.4570999145508,,0
15017-2-11-1,1,2,65.0,1,0.0,0,0,102.967529296875,10.0,0
